"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","630","Should increment cart counter badge when product items are added","firefox","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","400","Should increment cart counter badge when product items are added","chromium","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","346","Should handle synthetic API delays and wait for elements","chromium","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","574","Should handle synthetic API delays and wait for elements gracefully","firefox","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","353","Should handle synthetic API delays and wait for elements gracefully","chromium","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","355","Should navigate to the shop dashboard upon successful authentication","chromium","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","979","Should handle synthetic API delays and wait for elements","webkit","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","1126","Should increment cart counter badge when product items are added","webkit","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","574","Should navigate to the shop dashboard upon successful authentication","firefox","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","1061","Should handle synthetic API delays and wait for elements gracefully","webkit","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","1187","Should navigate to the shop dashboard upon successful authentication","webkit","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","233","Should strictly display login view on initial app boot","chromium","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","2612","Should navigate to the shop dashboard upon successful login","webkit","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","645","Should increment cart counter badge when product items are added","firefox","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","1285","Should strictly display login view on initial load","firefox","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","827","Should strictly display login view on initial app boot","webkit","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","406","Should increment cart counter badge when product items are added","chromium","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","359","Should navigate to the shop dashboard upon successful login","chromium","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","1109","Should increment cart counter badge when product items are added","webkit","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
"","712","Should navigate to the shop dashboard upon successful login","firefox","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","741","Should handle synthetic API delays and wait for elements","firefox","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","401","Should strictly display login view on initial load","chromium","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","3429","Should strictly display login view on initial load","webkit","2026-07-17","passed","2026-07-17","SwiftShop Enterprise Remote Functional Suite (TypeScript)","all_in_one_functional.spec.ts","",""
"","431","Should strictly display login view on initial app boot","firefox","2026-07-17","passed","2026-07-17","SwiftShop QA Sandbox Regression Suite (POM + TypeScript)","pom_test_functional.spec.ts","",""
